age,gender,height,weight,goal_weight,goal,activity,workout_days,sleep,water,target_calories,workout_intensity
31,male,183.1,97.4,97.4,maintenance,lightly active,6,5.0,2.22,2653,Low
40,female,157.4,92.5,92.5,recomposition,extremely active,5,5.4,1.54,2803,High
59,female,158.3,59.0,63.6,muscle gain,very active,1,8.3,2.95,2176,High
19,female,157.2,47.5,44.5,fat loss,sedentary,4,9.7,2.07,1095,Moderate
33,male,176.0,90.4,90.4,endurance,moderately active,6,7.8,2.11,2995,High
28,male,179.0,60.9,59.0,fat loss,very active,1,7.6,3.87,2019,High
59,male,180.1,61.4,58.1,fat loss,lightly active,6,6.3,2.97,1548,Moderate
41,male,176.9,80.1,80.1,recomposition,very active,2,6.3,2.96,2610,High
20,female,168.4,57.4,57.4,maintenance,very active,2,7.3,1.66,2232,High
30,female,151.4,72.6,79.1,muscle gain,lightly active,3,8.6,1.2,1812,High
18,male,187.3,73.8,63.1,fat loss,sedentary,5,7.5,3.18,1706,Low
41,male,178.7,92.9,104.9,muscle gain,sedentary,1,8.1,0.93,2553,Low
69,male,188.8,67.9,64.4,fat loss,very active,2,5.9,2.15,2119,Moderate
46,male,181.3,88.8,88.8,maintenance,very active,5,7.7,1.93,3300,High
62,female,158.5,62.5,62.5,maintenance,lightly active,2,6.2,1.85,1484,Low
56,female,164.6,51.6,51.6,endurance,moderately active,3,7.2,2.19,1745,Moderate
63,female,164.5,66.0,66.0,endurance,moderately active,4,7.7,1.76,2081,Moderate
32,female,161.5,57.6,57.6,maintenance,extremely active,2,6.4,1.65,2390,High
67,female,165.6,77.0,77.0,maintenance,moderately active,1,5.8,2.68,2051,Low
28,female,156.9,67.7,67.7,recomposition,moderately active,4,7.4,3.25,2251,High
39,female,167.8,65.1,71.2,muscle gain,moderately active,1,6.8,1.28,2297,High
52,female,161.6,91.0,91.0,recomposition,sedentary,3,7.2,2.64,1659,Low
31,male,173.2,78.5,76.1,fat loss,very active,4,7.8,2.88,2229,High
30,female,157.4,63.2,63.2,endurance,extremely active,5,8.6,2.81,2558,High
23,female,161.3,60.4,60.4,endurance,sedentary,6,7.8,2.35,1787,High
16,female,176.1,52.6,52.6,endurance,sedentary,6,7.6,2.08,1806,Moderate
43,female,162.6,67.1,76.8,muscle gain,moderately active,1,6.4,3.03,2472,High
69,female,155.0,72.0,72.0,recomposition,very active,3,6.6,2.73,1980,Moderate
27,female,169.4,43.1,43.1,maintenance,sedentary,1,7.5,1.17,1240,Low
39,male,176.6,85.7,85.7,endurance,very active,5,6.6,2.35,3328,High
66,female,165.0,61.3,52.4,fat loss,lightly active,1,7.5,2.54,1277,Low
57,female,158.8,53.7,57.2,muscle gain,sedentary,5,6.0,1.73,1456,Low
16,female,172.0,68.6,63.2,fat loss,sedentary,1,9.3,2.33,1566,Low
43,male,183.3,95.3,95.3,endurance,moderately active,1,7.2,2.84,3023,Moderate
23,female,172.8,66.4,61.2,fat loss,moderately active,6,7.2,1.92,1884,High
29,male,179.1,69.7,63.6,fat loss,moderately active,2,6.4,2.66,1944,Moderate
29,male,172.7,86.4,82.6,fat loss,very active,3,9.3,1.81,2262,High
49,female,172.8,67.4,67.4,endurance,extremely active,4,5.5,1.63,2593,High
26,female,164.2,55.0,55.0,maintenance,extremely active,5,6.2,2.93,2396,High
29,female,178.9,71.7,68.0,fat loss,very active,6,8.0,3.32,2180,High
28,male,182.3,62.3,68.5,muscle gain,moderately active,3,7.3,1.67,2639,High
35,female,164.8,52.4,52.4,maintenance,lightly active,4,6.3,3.17,1826,High
51,female,176.3,66.0,66.0,endurance,very active,6,6.3,2.49,2296,High
37,female,152.4,67.5,74.8,muscle gain,very active,1,6.7,0.95,2463,High
33,female,151.5,71.7,62.4,fat loss,extremely active,3,7.1,1.5,2035,High
43,male,170.1,94.8,94.8,recomposition,very active,2,8.9,2.93,3005,High
49,female,168.7,58.6,58.6,maintenance,sedentary,6,7.7,1.36,1521,Moderate
16,male,180.9,64.4,55.5,fat loss,moderately active,4,8.2,2.07,2394,High
64,female,167.2,74.8,74.8,maintenance,very active,4,6.5,2.44,2181,Moderate
65,male,167.7,79.2,79.2,maintenance,extremely active,2,7.6,2.81,2942,High
48,male,163.2,69.2,72.6,muscle gain,lightly active,6,5.1,2.63,2263,High
47,female,170.3,59.6,67.0,muscle gain,extremely active,1,7.2,3.6,2849,High
53,female,165.5,48.9,42.5,fat loss,lightly active,3,7.1,1.93,1240,Moderate
39,female,172.5,70.7,70.7,endurance,lightly active,5,9.2,2.57,2091,High
35,female,166.8,83.4,79.8,fat loss,extremely active,6,8.9,2.82,2132,High
35,female,159.8,86.5,86.5,maintenance,sedentary,2,6.7,3.0,1783,Low
24,male,174.7,51.2,44.1,fat loss,lightly active,3,6.0,3.24,1542,Moderate
61,male,173.8,92.9,92.9,endurance,extremely active,1,6.1,2.2,3330,High
33,male,177.7,69.6,77.1,muscle gain,extremely active,4,6.6,2.96,3330,High
31,male,183.7,109.9,109.9,endurance,sedentary,2,8.6,1.85,2560,Low
68,male,165.7,107.6,99.8,fat loss,extremely active,4,7.5,2.45,2634,High
43,female,161.5,62.2,65.5,muscle gain,moderately active,1,7.6,2.85,2128,Moderate
49,female,163.2,83.7,90.4,muscle gain,extremely active,3,8.0,3.18,3033,High
29,female,166.8,56.7,52.8,fat loss,moderately active,3,5.8,2.9,1526,Moderate
30,male,174.0,71.0,71.0,maintenance,moderately active,4,6.1,2.56,2567,High
55,female,164.3,66.6,66.6,maintenance,lightly active,2,7.6,2.44,1635,Low
40,female,156.6,49.2,49.2,maintenance,moderately active,2,6.1,2.88,1658,Moderate
23,female,150.3,60.8,60.8,maintenance,moderately active,5,5.2,4.03,1965,High
61,male,178.9,86.0,75.4,fat loss,moderately active,6,5.7,3.1,1759,Moderate
37,male,168.1,76.8,85.0,muscle gain,lightly active,2,8.3,2.77,2901,Moderate
52,female,169.1,79.8,79.8,maintenance,moderately active,3,6.6,1.54,2292,Moderate
34,male,183.2,74.0,74.0,recomposition,sedentary,1,7.3,1.91,1998,Low
46,male,176.3,89.9,100.5,muscle gain,extremely active,1,5.8,2.27,3661,High
57,male,164.5,75.0,75.0,maintenance,moderately active,3,7.5,3.14,2335,Low
63,female,172.0,53.0,53.0,endurance,lightly active,5,6.7,1.84,1512,Moderate
27,female,170.1,86.9,86.9,recomposition,extremely active,5,7.5,2.95,3040,High
52,male,167.0,81.3,71.3,fat loss,moderately active,5,6.4,2.58,1786,High
65,male,172.5,64.4,69.6,muscle gain,very active,1,7.6,2.75,2503,Moderate
50,female,154.0,78.8,74.9,fat loss,extremely active,1,6.4,2.35,1949,High
23,female,166.7,44.8,44.8,endurance,extremely active,2,6.9,2.08,2641,High
26,female,165.9,57.3,57.3,endurance,lightly active,2,6.7,1.82,1778,Moderate
26,male,163.5,110.3,110.3,maintenance,moderately active,4,7.0,2.93,3162,Low
21,female,160.9,100.8,112.5,muscle gain,extremely active,4,7.3,2.45,3259,High
56,male,174.6,73.8,73.8,recomposition,moderately active,2,6.4,1.75,2292,Moderate
68,female,164.0,61.7,55.6,fat loss,lightly active,5,6.9,2.66,1386,Low
43,male,172.3,55.0,55.0,recomposition,moderately active,5,7.2,4.9,2149,High
48,male,169.4,97.5,97.5,endurance,sedentary,2,7.6,2.36,1985,Low
57,male,169.6,93.9,85.5,fat loss,extremely active,4,6.9,3.66,2620,High
38,male,171.2,87.3,87.3,maintenance,moderately active,2,5.9,0.69,2649,Moderate
41,female,163.4,65.2,58.5,fat loss,lightly active,1,7.1,2.31,1544,Moderate
47,male,176.0,76.4,76.4,recomposition,moderately active,5,7.8,3.17,2392,High
32,male,173.7,62.2,62.2,recomposition,sedentary,1,5.4,2.51,1617,Low
19,male,172.0,95.7,83.5,fat loss,very active,2,5.4,2.05,2658,Moderate
46,female,170.7,42.8,42.8,endurance,moderately active,2,6.2,2.48,1722,High
60,female,160.4,62.8,66.7,muscle gain,sedentary,6,6.8,3.19,1368,Low
19,female,152.9,52.2,52.2,maintenance,moderately active,4,4.4,4.0,1874,High
27,female,166.3,70.0,74.6,muscle gain,sedentary,5,7.7,3.25,1940,Moderate
30,female,163.9,51.9,51.9,endurance,lightly active,6,6.8,2.15,1820,High
59,female,166.5,50.8,50.8,recomposition,extremely active,6,4.2,2.34,2093,High
43,male,165.3,83.7,83.7,endurance,very active,4,5.7,2.34,2956,High
44,female,175.5,65.8,67.9,muscle gain,moderately active,3,6.6,1.89,2170,Moderate
50,female,168.0,67.2,67.2,maintenance,moderately active,3,4.9,2.39,1930,Low
30,female,161.0,73.6,73.6,maintenance,moderately active,1,8.2,2.31,2216,Moderate
54,male,173.5,88.5,96.4,muscle gain,sedentary,4,7.2,1.66,2458,Low
17,female,170.5,62.6,62.6,endurance,lightly active,4,7.8,3.09,2088,High
22,male,186.3,82.5,82.5,endurance,extremely active,6,5.8,2.79,3730,High
60,male,179.0,79.3,79.3,endurance,extremely active,2,7.5,2.05,3180,High
51,female,158.7,82.1,82.1,maintenance,sedentary,5,6.2,2.6,1675,Low
25,male,178.0,100.2,90.4,fat loss,extremely active,2,6.8,1.82,3379,High
39,male,171.9,94.2,83.1,fat loss,sedentary,1,7.4,2.11,1744,Low
18,female,174.1,73.1,73.1,maintenance,moderately active,3,6.9,2.98,2392,Moderate
52,male,183.5,54.0,54.0,endurance,extremely active,6,8.0,2.83,2863,High
56,female,163.1,69.0,69.0,recomposition,lightly active,3,7.2,2.14,1590,Moderate
31,male,187.6,59.9,59.9,recomposition,extremely active,2,6.4,2.72,2653,High
34,male,181.0,80.5,80.5,recomposition,extremely active,2,8.0,2.45,2863,High
28,female,170.7,85.3,85.3,endurance,moderately active,5,8.3,1.8,2520,High
37,female,159.6,83.4,83.4,endurance,extremely active,2,7.1,2.38,3174,High
30,male,176.0,85.2,89.7,muscle gain,sedentary,2,8.6,2.8,2599,Moderate
29,female,171.7,60.2,60.2,recomposition,moderately active,2,6.7,2.71,1881,High
39,female,158.1,44.2,48.7,muscle gain,lightly active,1,6.8,1.32,1638,Moderate
62,male,176.5,90.7,90.7,recomposition,very active,5,7.0,2.62,2816,Moderate
57,female,161.5,69.0,61.1,fat loss,lightly active,2,6.8,2.52,1319,Low
32,male,177.4,92.1,80.5,fat loss,moderately active,2,6.6,1.17,2507,High
66,female,163.6,83.6,77.4,fat loss,very active,2,6.1,1.93,1973,Moderate
27,female,157.5,63.6,63.6,maintenance,lightly active,5,5.8,2.84,1860,Moderate
65,female,161.2,65.2,65.2,endurance,extremely active,6,7.1,3.47,2351,High
32,female,164.0,48.3,48.3,maintenance,very active,5,8.4,1.35,1856,High
45,male,165.4,97.0,97.0,maintenance,lightly active,4,8.0,3.19,2652,Moderate
26,male,187.5,41.2,41.2,recomposition,very active,5,7.5,1.18,2474,High
57,male,174.0,68.0,68.0,endurance,lightly active,2,8.5,3.48,2200,Moderate
33,female,165.0,62.6,62.6,maintenance,moderately active,6,7.0,2.33,1972,High
63,female,157.7,102.1,102.1,recomposition,very active,4,5.8,2.0,2410,High
20,male,171.6,40.0,40.0,maintenance,extremely active,6,6.6,2.75,2695,High
43,female,176.8,58.6,58.6,endurance,lightly active,2,6.9,1.83,2024,High
24,female,155.9,77.2,77.2,maintenance,moderately active,1,6.4,2.86,2506,Moderate
64,female,163.8,54.8,54.8,endurance,moderately active,5,7.7,2.41,1697,High
38,male,174.2,66.0,66.0,endurance,extremely active,2,8.1,0.5,3090,High
52,female,160.8,82.7,82.7,endurance,extremely active,2,4.9,1.93,2461,High
63,female,156.0,75.9,86.9,muscle gain,lightly active,5,6.8,2.63,1651,Moderate
44,male,173.7,73.4,84.5,muscle gain,sedentary,4,3.5,3.25,2224,Moderate
19,male,177.4,99.2,99.2,recomposition,extremely active,5,6.9,2.73,3444,High
27,male,171.9,80.8,80.8,endurance,sedentary,2,6.9,3.24,1947,Low
27,male,176.8,67.8,67.8,recomposition,lightly active,1,9.1,1.87,2009,Low
65,female,162.9,67.0,67.0,recomposition,sedentary,3,8.8,3.01,1399,Low
65,female,159.3,79.0,79.0,maintenance,sedentary,6,8.1,3.02,1595,Low
41,female,163.7,73.5,73.5,endurance,sedentary,4,5.8,1.36,1582,Moderate
64,male,180.0,68.5,68.5,maintenance,very active,6,5.8,3.27,2770,High
29,female,160.6,78.3,78.3,recomposition,moderately active,6,5.7,2.73,2089,High
52,male,171.0,81.3,81.3,maintenance,sedentary,6,8.8,2.3,1984,Low
37,female,154.1,63.8,63.8,endurance,very active,3,5.9,2.29,2278,High
28,male,167.5,85.5,85.5,recomposition,sedentary,2,6.5,1.77,2013,Low
29,male,182.1,70.2,70.2,endurance,moderately active,6,5.9,2.94,2611,High
38,female,162.7,93.0,82.3,fat loss,very active,4,5.5,2.71,2199,High
34,male,170.1,90.8,97.6,muscle gain,moderately active,2,7.4,2.91,3186,High
27,female,154.4,57.4,57.4,endurance,lightly active,3,7.2,2.56,1773,Moderate
34,female,151.3,74.6,64.9,fat loss,extremely active,5,4.3,2.64,2081,High
22,female,157.7,61.9,61.9,recomposition,extremely active,3,5.4,2.29,2566,High
68,female,167.1,70.0,70.0,recomposition,extremely active,5,7.3,3.25,2181,High
36,male,180.8,58.8,65.7,muscle gain,sedentary,2,6.9,2.92,2155,Low
21,female,152.2,76.5,72.5,fat loss,lightly active,2,6.5,2.62,1575,Moderate
47,male,180.2,71.1,65.3,fat loss,lightly active,1,7.7,2.41,1919,Low
63,female,160.3,66.3,66.3,endurance,sedentary,6,5.3,1.26,1372,Low
35,male,175.5,75.1,71.5,fat loss,lightly active,6,6.3,1.11,1990,Moderate
61,male,171.3,98.0,98.0,recomposition,lightly active,2,7.6,2.24,2214,Moderate
48,female,170.2,68.3,64.4,fat loss,moderately active,4,6.2,3.39,1880,High
55,male,184.0,93.3,106.8,muscle gain,very active,5,7.4,2.01,3594,High
31,female,177.0,72.7,65.0,fat loss,moderately active,4,5.6,2.03,1977,High
17,female,151.6,66.8,66.8,recomposition,very active,4,6.0,1.82,2223,High
34,female,157.0,60.1,55.2,fat loss,lightly active,2,4.9,1.6,1433,Low
65,female,167.9,77.7,77.7,recomposition,moderately active,1,4.5,1.86,2054,Low
58,female,159.8,71.8,71.8,endurance,lightly active,6,6.4,2.7,1812,High
58,male,176.2,71.5,71.5,recomposition,sedentary,6,7.5,2.16,1826,Low
63,male,172.1,99.6,99.6,recomposition,sedentary,6,6.9,2.12,1603,Low
36,male,168.3,95.1,95.1,endurance,sedentary,1,8.4,2.06,2214,Low
33,female,170.3,65.4,65.4,endurance,very active,5,6.5,2.67,2525,High
65,male,164.1,80.7,80.7,recomposition,sedentary,2,4.5,2.77,1776,Low
46,male,172.4,74.4,74.4,maintenance,moderately active,2,7.4,1.19,2619,Moderate
32,male,174.4,77.8,85.1,muscle gain,sedentary,3,5.7,1.97,2267,Low
31,male,168.9,72.5,72.5,recomposition,lightly active,2,7.2,2.44,2080,Low
63,male,179.6,99.7,96.5,fat loss,lightly active,4,4.3,2.81,2095,Low
18,male,174.5,79.7,79.7,endurance,lightly active,4,6.7,2.59,2782,Moderate
19,male,179.0,83.0,83.0,endurance,moderately active,6,7.8,3.08,3159,High
55,male,173.7,83.1,89.0,muscle gain,extremely active,5,7.7,1.51,3472,High
16,male,169.5,65.6,65.6,recomposition,very active,5,6.7,2.79,3099,High
25,male,175.8,81.5,81.5,recomposition,lightly active,6,6.9,3.94,2354,Moderate
69,female,150.1,75.2,75.2,endurance,extremely active,3,6.4,2.53,2393,High
38,male,178.8,100.6,100.6,endurance,extremely active,1,6.6,2.56,4246,High
55,male,168.4,63.9,63.9,recomposition,very active,6,7.8,2.86,2543,High
42,male,181.4,58.7,58.7,endurance,lightly active,3,6.1,2.12,2281,Moderate
20,female,164.4,104.6,109.7,muscle gain,sedentary,3,6.2,1.84,2304,Low
25,female,165.7,72.7,72.7,maintenance,extremely active,3,5.1,2.54,2825,High
57,female,168.9,77.9,69.6,fat loss,extremely active,6,7.8,1.34,2176,High
21,male,170.3,89.5,89.5,endurance,moderately active,3,6.6,2.78,3381,High
48,male,177.7,61.0,64.1,muscle gain,moderately active,5,5.5,2.9,3035,High
34,male,183.2,72.0,72.0,maintenance,moderately active,5,8.0,1.38,2540,High
35,female,165.1,43.1,37.9,fat loss,extremely active,4,6.9,2.61,1800,High
67,female,152.5,58.7,66.5,muscle gain,lightly active,4,6.0,2.35,1529,Low
48,female,173.9,58.4,58.4,recomposition,very active,1,8.0,3.53,2065,Moderate
49,female,153.2,60.2,63.9,muscle gain,extremely active,6,6.5,3.42,2327,High
34,female,160.6,54.1,54.1,maintenance,lightly active,3,5.1,3.09,1836,Moderate
36,female,153.8,68.6,68.6,maintenance,lightly active,2,8.1,3.35,1822,Low
53,female,157.9,86.2,86.2,recomposition,sedentary,2,5.9,2.24,1651,Low
18,male,158.6,85.3,90.6,muscle gain,very active,3,10.0,2.68,3409,High
28,male,167.1,106.0,106.0,maintenance,lightly active,4,6.4,2.32,2769,Moderate
48,female,171.0,54.6,47.5,fat loss,sedentary,4,4.5,1.8,1194,Moderate
49,male,165.8,96.6,96.6,maintenance,moderately active,6,9.0,2.56,2619,High
20,male,178.0,73.2,70.5,fat loss,moderately active,5,6.9,2.44,1950,High
58,female,162.1,72.0,72.0,recomposition,sedentary,3,7.2,2.36,1345,Low
45,male,171.5,79.0,79.0,endurance,very active,5,7.4,2.46,2686,High
28,female,169.4,60.5,60.5,maintenance,moderately active,5,5.3,2.54,2137,High
56,female,155.0,69.0,69.0,endurance,moderately active,6,4.3,3.12,1885,High
69,male,168.2,82.0,91.8,muscle gain,lightly active,1,9.3,2.09,2497,Low
38,female,166.3,59.8,59.8,endurance,very active,4,5.1,1.6,2364,High
31,female,165.5,70.5,70.5,maintenance,very active,4,8.9,2.97,2185,High
32,female,155.6,59.4,59.4,maintenance,very active,2,7.6,3.1,2096,High
48,male,186.7,100.0,100.0,maintenance,lightly active,4,7.1,2.75,2318,Moderate
18,female,156.8,46.9,46.9,endurance,moderately active,5,6.4,1.7,1816,High
42,female,172.1,68.8,68.8,recomposition,lightly active,1,9.7,2.41,1766,Low
17,female,166.7,81.9,81.9,maintenance,lightly active,6,6.1,2.7,2095,Moderate
18,male,175.5,81.0,81.0,recomposition,extremely active,6,6.1,1.75,3660,High
39,male,183.3,69.0,69.0,maintenance,lightly active,2,7.7,1.96,2364,Low
56,female,159.2,59.2,59.2,endurance,lightly active,2,6.1,2.4,1622,Moderate
63,male,172.1,66.7,66.7,maintenance,very active,2,5.7,3.33,2683,High
20,male,178.9,91.3,91.3,endurance,very active,1,6.9,2.66,3302,High
29,male,177.9,88.0,99.5,muscle gain,lightly active,1,7.8,2.1,2795,Moderate
38,male,171.2,79.7,79.7,maintenance,sedentary,2,9.2,2.36,2122,Low
46,male,179.3,72.0,72.0,recomposition,very active,4,9.4,2.03,2470,High
69,male,188.0,109.5,109.5,maintenance,extremely active,5,4.8,2.21,3818,High
52,female,163.7,60.2,60.2,maintenance,sedentary,4,8.2,3.01,1470,Low
45,male,179.0,58.4,51.4,fat loss,lightly active,4,5.8,1.16,1689,Moderate
19,male,179.7,78.9,78.9,endurance,extremely active,1,5.8,3.42,4027,High
20,male,164.8,76.4,80.6,muscle gain,very active,6,6.3,4.03,3372,High
24,female,180.8,71.5,68.7,fat loss,very active,2,6.2,2.61,2175,High
51,male,167.9,89.0,89.0,endurance,lightly active,3,5.7,1.92,2220,Moderate
33,female,161.0,61.8,57.0,fat loss,moderately active,4,4.1,3.31,1630,Moderate
29,female,159.3,61.6,61.6,recomposition,sedentary,1,8.7,2.69,1446,Low
52,female,145.0,72.5,80.7,muscle gain,extremely active,3,8.0,2.13,2556,High
60,female,170.5,65.9,65.9,recomposition,moderately active,6,6.9,1.82,1808,Moderate
39,male,183.1,83.5,90.5,muscle gain,very active,2,5.8,2.22,3559,High
63,female,159.2,43.3,43.3,recomposition,extremely active,4,8.4,2.63,1616,High
55,male,171.9,82.8,82.8,endurance,sedentary,4,6.9,3.13,2083,Moderate
54,female,154.9,50.0,50.0,maintenance,extremely active,1,6.2,2.7,1847,High
62,female,166.1,57.1,57.1,maintenance,lightly active,1,5.0,2.82,1396,Low
25,female,162.4,62.5,62.5,recomposition,lightly active,1,7.6,2.27,1732,Low
56,female,167.8,66.1,70.3,muscle gain,moderately active,1,6.5,3.1,2264,High
67,male,172.2,84.2,84.2,maintenance,lightly active,4,7.3,2.36,2082,Low
69,female,169.8,96.5,96.5,recomposition,lightly active,2,7.1,3.79,2002,Low
47,female,165.6,51.6,47.5,fat loss,very active,4,7.7,2.04,1559,High
56,female,168.8,83.7,83.7,maintenance,lightly active,2,7.2,2.78,1871,Low
63,male,187.4,86.3,86.3,maintenance,very active,3,6.6,4.03,3074,Moderate
62,female,154.4,59.5,64.9,muscle gain,lightly active,1,7.6,3.23,1612,Low
64,male,173.6,47.6,47.6,maintenance,lightly active,5,8.1,3.02,1752,Moderate
60,male,177.7,93.7,105.2,muscle gain,sedentary,1,8.8,2.71,2149,Low
36,male,169.0,87.2,87.2,maintenance,extremely active,6,5.6,2.54,3359,High
55,female,161.9,91.3,95.1,muscle gain,sedentary,2,8.3,2.38,2076,Low
38,male,173.4,70.4,70.4,endurance,moderately active,6,5.0,2.11,2664,High
59,male,173.3,93.5,93.5,recomposition,lightly active,5,8.2,1.42,2378,Moderate
59,male,175.3,76.4,76.4,recomposition,extremely active,5,6.2,2.95,2943,High
66,female,159.1,86.3,86.3,endurance,sedentary,5,7.9,1.42,1753,Low
47,male,176.1,79.2,71.1,fat loss,moderately active,3,8.7,2.96,2166,High
41,female,157.8,102.6,106.5,muscle gain,moderately active,2,7.2,2.28,2794,Moderate
24,female,177.7,77.9,69.9,fat loss,extremely active,5,6.9,1.83,2522,High
50,female,168.2,40.0,40.0,recomposition,sedentary,4,6.9,3.48,1187,Low
46,female,155.8,49.1,55.9,muscle gain,extremely active,5,6.4,1.49,2539,High
43,male,171.9,70.4,70.4,recomposition,sedentary,2,8.3,2.03,1817,Low
52,male,177.3,92.4,92.4,endurance,lightly active,5,6.9,2.1,2368,Moderate
61,male,162.3,66.1,75.7,muscle gain,extremely active,6,4.4,2.6,2971,High
24,female,168.9,62.1,67.9,muscle gain,lightly active,5,8.1,2.07,2027,Moderate
39,female,168.7,52.5,52.5,maintenance,moderately active,2,8.0,3.52,1979,Moderate
55,female,167.2,55.5,55.5,maintenance,lightly active,2,7.1,1.54,1672,Low
60,male,186.4,99.1,103.8,muscle gain,extremely active,1,6.1,5.36,3815,High
58,male,175.1,84.3,87.7,muscle gain,sedentary,5,5.6,1.76,2083,Moderate
59,male,176.2,85.5,89.7,muscle gain,extremely active,3,6.1,4.57,3574,High
62,male,171.6,94.1,94.1,maintenance,lightly active,2,7.2,3.27,2222,Low
67,male,174.9,101.0,101.0,maintenance,moderately active,1,4.8,2.42,2610,Moderate
48,female,164.2,49.7,49.7,maintenance,lightly active,3,7.5,2.66,1496,Moderate
29,male,173.8,88.6,94.3,muscle gain,very active,2,7.1,2.23,3673,High
46,female,153.9,61.7,61.7,recomposition,very active,6,8.5,2.74,1773,High
54,male,173.1,75.2,75.2,maintenance,sedentary,3,7.8,1.98,1797,Low
21,male,157.1,57.8,64.3,muscle gain,lightly active,3,6.1,3.0,2572,Moderate
56,female,176.5,56.5,56.5,recomposition,very active,4,5.0,2.63,2247,High
45,female,164.5,48.9,48.9,endurance,moderately active,5,6.0,1.81,1975,High
66,male,180.8,88.2,92.0,muscle gain,moderately active,1,8.7,2.8,2936,Moderate
27,male,184.2,65.1,65.1,maintenance,lightly active,1,7.4,2.76,2403,Low
64,male,184.7,95.4,95.4,endurance,very active,2,7.7,2.0,3173,High
40,female,167.7,63.1,66.0,muscle gain,extremely active,5,6.2,2.2,2350,High
46,male,171.8,50.7,56.6,muscle gain,sedentary,6,7.6,2.86,1760,Moderate
51,female,160.7,72.4,76.8,muscle gain,very active,6,5.2,3.26,2463,High
47,male,183.0,66.8,66.8,maintenance,extremely active,2,8.1,2.4,3010,High
64,female,163.5,71.0,71.0,maintenance,lightly active,5,5.6,3.15,1770,Low
25,male,192.5,96.1,96.1,recomposition,moderately active,2,4.6,3.32,3308,Moderate
55,female,169.5,70.1,74.1,muscle gain,moderately active,2,9.7,3.41,2303,Moderate
68,female,174.1,62.6,62.6,maintenance,very active,4,7.2,2.79,1967,High
27,male,173.9,113.9,101.2,fat loss,very active,1,7.1,1.87,2858,Moderate
29,male,184.4,94.0,94.0,endurance,extremely active,1,4.8,3.12,4046,High
41,female,154.6,78.5,86.3,muscle gain,moderately active,6,7.7,2.37,2389,High
55,male,167.8,120.4,125.2,muscle gain,extremely active,5,8.1,2.85,4016,High
67,male,171.6,81.6,76.5,fat loss,moderately active,5,6.8,2.06,1993,Moderate
58,male,167.8,88.1,97.4,muscle gain,lightly active,2,8.1,2.08,2359,Low
58,male,166.4,66.9,66.9,endurance,very active,1,8.4,2.01,2443,High
39,male,179.7,56.6,56.6,maintenance,moderately active,1,7.6,1.57,2382,Moderate
50,male,173.6,76.0,76.0,recomposition,very active,3,4.4,2.09,2498,High
27,male,175.4,80.5,80.5,maintenance,very active,5,5.6,1.78,2991,High
41,male,178.9,84.6,87.3,muscle gain,sedentary,4,9.0,2.9,2373,Low
26,male,162.0,60.1,60.1,recomposition,moderately active,6,7.1,1.75,2186,High
17,male,184.0,89.2,94.4,muscle gain,sedentary,6,7.1,2.03,2484,Moderate
62,female,162.8,94.9,94.9,recomposition,moderately active,5,6.0,2.5,2246,High
59,male,178.7,88.5,88.5,endurance,very active,1,6.2,3.77,2930,High
43,male,179.3,93.1,87.4,fat loss,very active,2,8.4,2.02,2793,High
16,male,184.6,74.5,68.0,fat loss,sedentary,3,8.8,1.53,1709,Low
20,female,157.8,74.1,74.1,recomposition,extremely active,4,8.0,1.58,2743,High
22,male,160.1,101.6,91.8,fat loss,very active,5,7.7,1.9,2754,High
54,male,175.4,92.2,92.2,recomposition,lightly active,6,7.8,2.04,2241,High
26,male,176.4,82.1,89.0,muscle gain,moderately active,6,6.9,4.11,2941,High
29,male,167.8,100.6,100.6,maintenance,sedentary,3,5.6,3.18,2398,Low
62,male,176.0,81.2,81.2,recomposition,lightly active,6,5.3,2.28,1920,Moderate
63,male,172.5,71.3,78.9,muscle gain,very active,6,8.6,3.8,2644,High
57,female,164.3,91.5,91.5,endurance,extremely active,1,7.0,2.07,3093,High
32,female,161.3,79.3,79.3,endurance,moderately active,5,7.6,2.21,2380,High
47,male,171.1,90.8,95.7,muscle gain,lightly active,3,7.3,2.17,2577,Moderate
26,female,151.1,74.1,74.1,recomposition,extremely active,6,7.3,3.22,2442,High
62,female,164.1,69.8,69.8,recomposition,moderately active,6,7.4,2.45,1756,High
20,male,183.6,97.0,110.1,muscle gain,very active,2,7.8,3.56,4419,High
56,male,174.7,77.0,77.0,endurance,very active,4,6.1,2.8,3050,High
43,male,175.6,69.1,78.7,muscle gain,lightly active,6,8.4,3.14,2311,High
56,female,168.4,85.3,92.8,muscle gain,sedentary,5,6.1,1.23,1931,Low
40,male,178.2,72.9,72.9,recomposition,very active,6,7.3,1.31,2797,High
24,female,172.7,67.6,62.6,fat loss,extremely active,5,5.6,1.33,2110,High
56,male,179.5,108.1,108.1,endurance,extremely active,5,6.8,2.2,3717,High
50,female,157.1,77.8,82.7,muscle gain,extremely active,6,6.2,1.42,2819,High
41,female,173.3,77.4,77.4,maintenance,lightly active,6,7.0,3.37,1942,Moderate
36,male,165.3,104.1,104.1,recomposition,extremely active,2,7.9,2.36,3653,High
34,male,168.9,61.8,61.8,endurance,sedentary,5,7.1,2.93,1819,Low
41,female,171.6,57.3,57.3,recomposition,lightly active,3,9.4,2.16,1660,Moderate
30,male,169.9,108.0,112.7,muscle gain,very active,4,8.0,3.08,3885,High
